"HBAN";"Huntington Bancshares Inc";15367
"STX";"Seagate Technology PLC";15339
"CE";"Celanese Corp";15302
"TIF";"Tiffany & Co";15227
"KSU";"Kansas City Southern";15184
"MAA";"Mid-America Apartment Communities Inc";15169
"NLOK";"NortonLifeLock Inc";15163
"TFX";"Teleflex Inc";15131
"WAB";"Westinghouse Air Brake Technologies Corp";15075
"WCG";"WellCare Health Plans Inc";15069
"DISCK";"Discovery Inc";15045
"L";"Loews Corp";15002
"ANET";"Arista Networks Inc";14608
"CBS";"CBS Corp";14598
"CTXS";"Citrix Systems Inc";14503
"COO";"The Cooper Companies Inc";14475
"EXPE";"Expedia Group Inc";14339
"EVRG";"Evergy Inc";14312
"IT";"Gartner Inc";14302
"ULTA";"Ulta Beauty Inc";14256
"NTAP";"NetApp Inc";14231
"IFF";"International Flavors & Fragrances Inc";14013
"DRI";"Darden Restaurants Inc";13993
"BEN";"Franklin Resources Inc";13925
"CNP";"CenterPoint Energy Inc";13917
"UDR";"UDR Inc";13899
"CPB";"Campbell Soup Co";13893
"AKAM";"Akamai Technologies Inc";13815
"EXR";"Extra Space Storage Inc";13685
"MKTX";"MarketAxess Holdings Inc";13648
"XYL";"Xylem Inc";13646
"DGX";"Quest Diagnostics Inc";13551
"BR";"Broadridge Financial Solutions Inc";13533
"TTWO";"Take-Two Interactive Software Inc";13523
"WAT";"Waters Corp";13484
"CAG";"Conagra Brands Inc";13373
"NVR";"NVR Inc";13251
"MAS";"Masco Corp";13202
"WYNN";"Wynn Resorts Ltd";13066
"EXPD";"Expeditors International of Washington Inc";13036
"HON";"Honeywell International Inc";12933
"JEC";"Jacobs Engineering Group Inc";12854
"FMC";"FMC Corp";12773
"DRE";"Duke Realty Corp";12773
"ARNC";"Arconic Inc";12758
"ATO";"Atmos Energy Corp";12726
"CBOE";"Cboe Global Markets Inc";12699
"ABBV";"AbbVie Inc";12638
"JBHT";"JB Hunt Transport Services Inc";12606
"ROL";"Rollins Inc";12544
"VNO";"Vornado Realty Trust";12525
"LNT";"Alliant Energy Corp";12406
"LDOS";"Leidos Holdings Inc";12386
"XRAY";"Dentsply Sirona Inc";12386
"UHS";"Universal Health Services Inc";12338
"FANG";"Diamondback Energy Inc";12304
"RJF";"Raymond James Financial Inc";12275
"IEX";"IDEX Corp";12218
"SIVB";"SVB Financial Group";12204
"HST";"Host Hotels & Resorts Inc";12177
"HOLX";"Hologic Inc";12167
"AAP";"Advance Auto Parts Inc";12046
"HAS";"Hasbro Inc";12043
"LNC";"Lincoln National Corp";11955
"SJM";"JM Smucker Co";11897
"AES";"The AES Corp";11883
"QRVO";"Qorvo Inc";11861
"URI";"United Rentals Inc";11746
"LW";"Lamb Weston Holdings Inc";11722
"TAP";"Molson Coors Brewing Co";11532
"WU";"The Western Union Co";11445
"JKHY";"Jack Henry & Associates Inc";11414
"VAR";"Varian Medical Systems Inc";11407
"TSCO";"Tractor Supply Co";11405
"EMN";"Eastman Chemical Co";11229
"AVY";"Avery Dennison Corp";11136
"NCLH";"Norwegian Cruise Line Holdings Ltd";11037
"RE";"Everest Re Group Ltd";10873
"REG";"Regency Centers Corp";10859
"LKQ";"LKQ Corp";10787
"PKG";"Packaging Corp of America";10783
"GL";"Globe Life Inc";10755
"ALLE";"Allegion PLC";10744
"MHK";"Mohawk Industries Inc";10728
"UPS";"United Parcel Service Inc";10546
"TXT";"Textron Inc";10545
"PHM";"PulteGroup Inc";10495
"CHRW";"C.H. Robinson Worldwide Inc";10404
"HII";"Huntington Ingalls Industries Inc";10302
"CMA";"Comerica Inc";10281
"NBL";"Noble Energy Inc";10206
"CHTR";"Charter Communications Inc";10159
"CF";"CF Industries Holdings Inc";10073
"ABMD";"Abiomed Inc";9943
"FRT";"Federal Realty Investment Trust";9919
"HSIC";"Henry Schein Inc";9871
"WHR";"Whirlpool Corp";9842
"ETFC";"E*TRADE Financial Corp";9768
"NI";"NiSource Inc";9756
"MRO";"Marathon Oil Corp";9711
"PKI";"PerkinElmer Inc";9709
"NRG";"NRG Energy Inc";9688
"PNW";"Pinnacle West Capital Corp";9578
"BWA";"BorgWarner Inc";9542
"IRM";"Iron Mountain Inc";9447
"COTY";"Coty Inc";9397
"VIAB";"Viacom Inc";9378
"CVS";"CVS Health Corp";9324
"FTI";"TechnipFMC PLC";9196
"SNA";"Snap-on Inc";9192
"KSS";"Kohl's Corp";9081
"APA";"Apache Corp";9002
"DVA";"DaVita Inc";8984
"NOV";"National Oilwell Varco Inc";8893
"MYL";"Mylan NV";8872
"ALK";"Alaska Air Group Inc";8851
"JNPR";"Juniper Networks Inc";8832
"KIM";"Kimco Realty Corp";8816
"HFC";"HollyFrontier Corp";8732
"IPG";"The Interpublic Group of Companies Inc";8689
"ZION";"Zions Bancorp NA";8666
"DVN";"Devon Energy Corp";8657
"FBHS";"Fortune Brands Home & Security Inc";8556
"RL";"Ralph Lauren Corp";8509
"AOS";"A.O. Smith Corp";8447
"XRX";"Xerox Holdings Corp";8288
"NWL";"Newell Brands Inc";8235
"CAT";"Caterpillar Inc";8176
"IVZ";"Invesco Ltd";8015
"UAA";"Under Armour Inc";7932
"BKNG";"Booking Holdings Inc";7931
"AIV";"Apartment Investment & Management Co";7926
"MOS";"The Mosaic Co";7916
"NWS";"News Corp";7845
"NWSA";"News Corp";7715
"DXC";"DXC Technology Co";7667
"IPGP";"IPG Photonics Corp";7578
"TPR";"Tapestry Inc";7361
"PBCT";"People's United Financial Inc";7334
"COG";"Cabot Oil & Gas Corp";7256
"PNR";"Pentair PLC";7254
"ALB";"Albemarle Corp";7167
"PVH";"PVH Corp";7165
"UA";"Under Armour Inc";7161
"FLIR";"FLIR Systems Inc";7154
"LEG";"Leggett & Platt Inc";7143
"SLG";"SL Green Realty Corp";6874
"CB";"Chubb Ltd";6851
"RHI";"Robert Half International Inc";6818
"INTU";"Intuit Inc";6707
"PRGO";"Perrigo Co PLC";6677
"PNC";"PNC Financial Services Group Inc";6668
"D";"Dominion Energy Inc";6551
"BDX";"Becton, Dickinson and Co";6542
"GPS";"Gap Inc";6425
"FLS";"Flowserve Corp";6404
"UNM";"Unum Group";6155
"SEE";"Sealed Air Corp";6102
"PWR";"Quanta Services Inc";6078
"HOG";"Harley-Davidson Inc";5932
"JWN";"Nordstrom Inc";5802
"HBI";"Hanesbrands Inc";5801
"CSX";"CSX Corp";5739
"DE";"Deere & Co";5662
"WBA";"Walgreens Boots Alliance Inc";5531
"PLD";"Prologis Inc";5524
"M";"Macy's Inc";4973
"ADS";"Alliance Data Systems Corp";4961
"HRB";"H&R Block Inc";4937
"LVS";"Las Vegas Sands Corp";4847
"LB";"L Brands Inc";4836
"WM";"Waste Management Inc";4681
"XEC";"Cimarex Energy Co";4637
"COF";"Capital One Financial Corp";4517
"HP";"Helmerich & Payne Inc";4501
"TRIP";"TripAdvisor Inc";4432
"AMG";"Affiliated Managers Group Inc";4291
"AMD";"Advanced Micro Devices Inc";4038
"TRV";"The Travelers Companies Inc";3446
"WELL";"Welltower Inc";3375
"NEM";"Newmont Goldcorp Corp";3012
"AVB";"AvalonBay Communities Inc";2938
"EBAY";"eBay Inc";2866
"HLT";"Hilton Worldwide Holdings Inc";2766
"IQV";"IQVIA Holdings Inc";2719
"CNC";"Centene Corp";2234
"KEY";"KeyCorp";1893
"FRC";"First Republic Bank";1841
"PFG";"Principal Financial Group Inc";1538
"CXO";"Concho Resources Inc";1454
"WRK";"WestRock Co";1018
"FFIV";"F5 Networks Inc";891
"AIZ";"Assurant Inc";782
"NLSN";"Nielsen Holdings PLC";734
"CPRI";"Capri Holdings Ltd";551
"LHX";"L3Harris Technologies Inc";431
"MAC";"Macerich Co";393
"AAL";"American Airlines Group Inc";134
"TSLA";"Tesla Inc";4794
"MASI";"Masimo Corporation";137
"DXCM";"DexCom, Inc.";1105
"NOW";"ServiceNow Inc.";172
"SHOP";"Shopify Inc.";1691
"WIX";"Wix.com Ltd.";637
"OKTA";"Okta, Inc.";1165
"VEEV";"Veeva Systems Inc.";627
"TTD";"The Trade Desk, Inc.";954
"ZM";"Zoom Video Communications, Inc.";634
"RNG";"RingCentral, Inc.";1228
"SPY";"SPDR S&P 500 ETF Trust";62774
"LKFN";"LAKELAND FINANCIAL CORP";0
"EVH";"EVOLENT HEALTH INC";0
"VKTX";"VIKING THERAPEUTICS INC";0
"NXPI";"NXP Semiconductors NV";0
